transaction_date,development,humanitarian_in_FTS,humanitarian_in_IATI,humanitarian
2020-05-15,2590854692.13232,269763128.022355,309014423.953113,1800654138
2020-05-17,2590502095.65692,269763128.022355,309014423.953113,1800829138
2020-05-18,2681485002.77913,273867260.353667,309124175.109143,1810944267
2020-05-19,2989358219.76037,274165432.766055,309311170.807098,1967469907
2020-05-20,2989414219.76037,285212604.457095,314357139.582643,1988386534
2020-05-21,2989471378.16037,287658004.457095,314491973.350904,2018944538
2020-05-22,3180070934.44523,287658004.457095,314491973.350904,2054304227
2020-05-23,3180070934.44523,287658004.457095,314491973.350904,2054765682
2020-05-25,3219327233.65983,289597184.477215,314524334.850904,2056867293
2020-05-26,3229491755.02623,295082184.477215,316266880.046114,2094671633
2020-05-27,3245697554.14863,296394991.439815,316295222.942414,2145121442
2020-05-28,3272065457.20139,300878207.763143,334376002.844855,2176767812
2020-05-29,3337545885.05712,336000358.662084,334376002.844855,2182803360
2020-05-30,3337554063.71878,336000358.662084,334376002.844855,2182803360
2020-05-31,3425386384.71878,357823011.662084,334434647.844855,2184626839
2020-06-01,3431545333.74525,359758685.458066,347821526.151371,2271145868
2020-06-02,3534470413.89141,366267009.0754,347821526.151371,2310386674
2020-06-03,3565179488.71061,369053446.554688,356120405.546355,2387073567
2020-06-04,3649161050.78139,369714918.553888,356120405.546355,2405047312
2020-06-05,3772013941.13141,371612814.553888,362746761.546355,2475237099
2020-06-06,3772013941.13141,371612814.553888,362972701.546355,2488636979
2020-06-07,3772013941.13141,371612814.553888,362972701.546355,2494204908
2020-06-08,3828764733.93141,396369637.901719,363783563.452795,2556053404
2020-06-09,3852840051.92843,401472185.042955,364111289.411195,2565813802
2020-06-10,3952361727.81416,406608647.476065,364433665.103765,2583361232
2020-06-11,3956053005.47875,407149671.376065,364433665.103765,2596325541
2020-06-12,3958791016.6693,430204655.811636,370060165.103765,2636962524
2020-06-13,3958791016.6693,430204655.811636,370060165.103765,2648592524
2020-06-14,3958791016.6693,430789096.811636,370060165.103765,2659251066
2020-06-15,3983211603.74358,484058630.148726,370115380.147145,2715974713
2020-06-16,3987722027.21299,485618527.156788,371421424.147145,2756618024
2020-06-17,3990119284.95763,486208042.772646,373803024.147145,2780965386
2020-06-18,3999362333.49179,491285926.810054,390792228.791145,2801419001
2020-06-19,4005441752.25829,493859396.810054,390946753.791145,2991618189
2020-06-20,4005441752.25829,493859396.810054,390946753.791145,2994588189
2020-06-21,4005441752.25829,493859396.810054,390946753.791145,2995488189
2020-06-22,4067336933.54478,493859396.810054,407836753.791145,3018727397
2020-06-23,4101895749.6212,494912342.810054,407836753.791145,3043408435
2020-06-24,4305536095.53281,496160314.241846,407851690.191145,3099638486
2020-06-25,4399580362.90286,499315223.048839,449561054.228345,3157716409
2020-06-26,4481365372.01409,501541244.610405,495059606.454774,3188838120
2020-06-28,4481365372.01409,501541244.610405,495059606.454774,3189010389
2020-06-29,4488639946.30832,534537370.617658,495720691.649074,3287244284
2020-06-30,5044877150.69462,747091176.337767,549673151.438874,3333031992
2020-07-01,5082310182.23891,749676910.871087,596630112.338178,3379438585
2020-07-02,5124034722.15611,756363056.809126,597323275.672777,3430076872
2020-07-03,5192126744.20577,756855424.696204,597684635.336896,3435424093
2020-07-04,5192126744.20577,759349224.696204,597684635.336896,3435515229
2020-07-05,5192126744.20577,759349224.696204,597684635.336896,3436034880
2020-07-06,5246000347.93674,774192395.103262,622646596.941196,3470680195
2020-07-07,5269204003.91669,774852494.581108,622673591.539596,3486327989
2020-07-08,5280515916.54752,782749103.222693,623250031.020354,3553649334
2020-07-09,5291506767.09455,786531415.058774,623250031.020354,3591388187
2020-07-10,5316012586.88214,789657303.682764,623250031.020354,3612357513
2020-07-11,5316012586.88214,789657303.682764,623250031.020354,3623442171
2020-07-12,5316012586.88214,789657303.682764,623250031.020354,3625257209
2020-07-13,5387231981.95956,796482786.898056,623317358.245354,3652093007
2020-07-14,5398712839.81301,797691424.554912,629747107.875611,3696044945
2020-07-15,5412869914.8474,800782125.770921,784870507.694755,3773405910
2020-07-16,5499394863.45338,801960538.800521,798051850.510755,3839671688
2020-07-17,5778803537.29541,804810394.250077,798519411.296755,3861406482
2020-07-18,5792497737.29541,804810394.250077,798519411.296755,3861406482
2020-07-20,5808913036.75409,813897007.466675,804251576.696755,3885527387
2020-07-21,5832934422.09602,815946952.466675,804251576.696755,3890153519
2020-07-22,5759816261.95112,820156045.892295,804251576.696755,3923604094
2020-07-23,5799144384.18102,825338395.629147,804251576.696755,3929774524
2020-07-24,5814821218.49497,839589458.664057,806190419.394754,4049232321
2020-07-26,5814821218.49497,844099908.664057,806190419.394754,4060945824
2020-07-27,5822266627.98486,856630484.664057,806857439.135533,4077708286
2020-07-28,5888429370.62036,859676990.332875,806951303.135534,4112321502
2020-07-29,6227583324.66357,877542963.392755,806951303.135534,4123010765
2020-07-30,6324109378.01645,886117685.640521,811078153.135533,4131264636
2020-07-31,6499580878.27951,1143098639.18166,858125011.915534,4171188240
2020-08-01,6497844750.75204,1143098639.18166,860032007.878293,4185075655
2020-08-02,6498222659.42059,1143098639.18166,860032007.878293,4185128068
2020-08-03,6858696658.15634,1152725482.53981,860687472.364293,4194566815
2020-08-04,6873811676.4748,1155897744.75615,860687472.364293,4201813736
2020-08-05,6988881003.49465,1158990472.10938,860939181.169581,4203179933
2020-08-06,7005717021.06852,1159846805.9258,860939181.169581,4389994824
2020-08-07,7114995127.52351,1165136400.32316,860939181.169581,4403128546
2020-08-09,7114995127.52351,1165136400.32316,860939181.169581,4407408622
2020-08-10,7132809721.89255,1166142713.92316,861032474.365044,4443171033
2020-08-11,7182048855.28522,1174584949.98214,861032474.365044,4450274373
2020-08-12,7231788349.28482,1174742229.9782,863380934.365044,4458042349
2020-08-13,7387930817.64772,1192283193.88216,863380934.365044,4478674119
2020-08-14,7503597744.44327,1193701537.35236,863394042.365044,4496767722
2020-08-16,7507191109.00122,1193701537.35236,863394042.365044,4502636168
2020-08-17,7541923033.00127,1196801368.47389,863436716.77453,4514311797
2020-08-18,7673191846.26004,1202206650.46918,869400716.77453,4523895810
2020-08-19,7721537572.82362,1202270026.39446,869553462.346378,4529934757
2020-08-20,7803926046.29395,1204520385.98676,890905062.346378,4566146785
2020-08-21,7831534586.35673,1206063613.42438,890905062.346378,4573315709
2020-08-23,7831589586.35673,1206063613.42438,890905062.346378,4573665494
2020-08-24,8126755101.82339,1213494964.22664,890905062.346378,4592833077
2020-08-25,8127021473.72113,1216556944.89777,894450462.346378,4624099265
2020-08-26,8366663837.58011,1218960438.67057,894450462.346378,4636270195
2020-08-27,8519968436.02643,1219799942.67057,894471112.642974,4642089439
2020-08-28,8536607048.59085,1223530906.17057,894495633.400974,4646666897
2020-08-29,8536607048.59085,1223530906.17057,894495633.400974,4653166897
2020-08-31,8602904870.45924,1245064032.27852,916931426.220974,4682548678
2020-09-01,8614436616.65541,1245524616.91072,918338208.979929,4731880344
2020-09-02,8628405297.90919,1246216917.60335,918440270.21295,4761726557
2020-09-03,8672029798.28359,1253621493.09935,942142270.21295,4765310982
2020-09-04,8732809815.40116,1256163590.94935,942343106.071012,4780788622
2020-09-05,8733098715.40116,1259709590.94935,942343106.071012,4780788622
2020-09-07,8798877223.969,1259825805.43772,943451272.071012,4793339762
2020-09-08,8886966713.1756,1260385193.48772,943572534.771012,4796715733
2020-09-09,9068295584.88605,1263530357.70603,943591143.771012,4859359872
2020-09-10,9111544140.48605,1277334357.70603,946561143.771012,4874165737
2020-09-11,9242673158.1637,1277381681.70603,946561143.771012,4874449334
2020-09-12,9242673158.1637,1277381681.70603,946561143.771012,4875099331
2020-09-14,9278785087.71935,1278272231.70603,952883322.089255,4984904206
2020-09-15,9281454032.29085,1278834652.24408,952883322.089255,5030075463
2020-09-16,9277385053.40905,1280265738.70808,963036945.089255,5088473708
2020-09-17,9311316707.16471,1319558304.74011,963149146.260047,5234123708
2020-09-18,9322378803.19718,1323596648.06011,974674209.435465,5616145622
2020-09-19,9322378803.19718,1323596648.06011,974674209.435465,5616430139
2020-09-20,9323502420.64278,1323596648.06011,974674209.435465,5616575347
2020-09-21,9336829697.86948,1324441712.06011,981716409.435465,5641722816
2020-09-22,9339996364.2125,1325650836.95011,984690721.181407,5642196750
2020-09-23,9345077964.99444,1330181478.32393,986512660.481407,5647569529
2020-09-24,9493560725.15885,1330265216.58851,986512660.481407,5658437513
2020-09-25,9512842736.56373,1330265216.58851,986512660.481407,5660710070
2020-09-27,9535467936.56373,1330265216.58851,986512660.481407,5660710070
2020-09-28,9633266095.40698,1330265216.58851,986523187.129407,5671288742
2020-09-29,9682448694.29659,1342193122.58851,988069831.129407,5720664120
2020-09-30,10398953166.1789,1366700687.96076,1019376215.08842,5771718114
2020-10-01,10535003272.2368,1368514402.67283,1019954988.72729,5799768579
2020-10-02,10539201376.8295,1368514402.67283,1019954988.72729,5802084408
2020-10-04,10540099435.7018,1368514402.67283,1019954988.72729,5802201779
2020-10-05,10568005670.4158,2151792956.86673,1351963060.5607,5803647239
2020-10-06,10581533140.3157,2153035066.49442,1365404878.5607,5890568212
2020-10-07,10617262794.5502,2154654378.25277,1365406439.62801,5893384862
2020-10-08,10634834500.5879,2154750165.20277,1365514965.65471,5930598385
2020-10-09,10645771163.2,2157680184.86715,1366467605.65471,5941142646
2020-10-11,10645771163.2,2157680184.86715,1366467605.65471,5965975768
2020-10-12,10647842103.8053,2157680184.86715,1366467605.65471,5966204277
2020-10-13,10649363084.2471,2158625669.23071,1366618270.99103,5969627699
2020-10-14,10666843638.8859,2158703529.73071,1366735477.99103,5970972275
2020-10-15,10674254198.637,2159468070.95283,1366735477.99103,5980585222
2020-10-16,10720772865.2249,2160729521.03723,1366735477.99103,5985749542
2020-10-18,10720772865.2249,2161086761.03723,1366735477.99103,5986104211
2020-10-19,10751443959.8662,2162337313.02543,1366735477.99103,5986104211
2020-10-20,10766942228.6965,2162342550.24157,1374421077.99103,6002025265
2020-10-21,10799139238.8155,2167806548.64157,1374421077.99103,6007139013
2020-10-22,10810772603.5351,2173565156.20882,1376785877.99103,6013450513
2020-10-23,10976327969.7482,2174486341.88046,1376785877.99103,6016865579
2020-10-25,10976473866.7428,2174533605.88046,1376785877.99103,6016865579
2020-10-26,10983117940.7148,2174728569.88046,1376894490.2109,6032670757
2020-10-27,10992034423.232,2175620432.66342,1380566265.3669,6032670757
2020-10-28,10993881187.862,2176325492.66342,1380566265.3669,6036237726
2020-10-29,11008023249.82,2186675317.86574,1380566265.3669,6036321426
2020-10-30,11050190364.3955,2189936477.86574,1380569522.15496,6038042060
2020-10-31,11150835791.2955,2291725345.73074,1436723231.26096,6038130702
2020-11-01,11150966617.7644,2291749270.158,1437262733.66269,6055964044
2020-11-02,11156324781.987,2291749270.158,1437262733.66269,6057159144
2020-11-03,11209119344.5483,2304605352.98507,1444297133.66269,6078580536
